species	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson	Parkinson
g__02d06	0	0	0	0	2	57	22	16	0	0	1	1	0	7	2	7	0	0	0	0	0	0	0	1	4	0	5	2	0	0	0	0	10	0	0	0	23	0	0	0	0	1	2	0	0	0	6	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	1	0	2	0	0	0	0	0	1	552	19	11	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	15	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
g__1-68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0
g__5-7N15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
g__Acidaminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	636	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0	0	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0
g__Acidovorax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Acinetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Actinobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Actinomyces	0	1	0	1	0	0	0	2	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	2
g__Adlercreutzia	0	5	0	0	2	0	3	0	0	3	4	2	5	0	2	4	59	1	36	1	0	0	0	1	1	3	4	1	25	1	5	0	0	0	0	4	1	0	11	57	10	6	1	0	0	9	0	3	2	2	0	0	3	26	2	1	2	0	4	7	0	4	0	0	2	0	12	40	2	6	0	1	1	0	1	0	0	3	2	3	3	12	4	4	3	3	2	2	1	7	11	5	6	0	6	3	10	42	1	0	0	7	2	1	0	1	31	3	6	0	3	2	8	2	2	23	7	5	5	1	5	0	9	4	0	0	25	0	1	0	0	0	5	0	0	2	0	4	6	4	0	8	0	4	7	0	6	3
g__Aggregatibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g__Akkermansia	0	5	0	0	0	0	0	0	0	0	0	5	1	2	0	0	0	6	12	0	1	0	0	0	2	0	0	13	27	0	0	0	0	0	1	14	0	0	1	6	6	2	0	0	0	1	0	33	3	0	1	9	3	0	0	0	1	4	10	2	0	10	0	0	0	6	2	6	0	0	3	0	0	0	3	0	0	0	63	0	0	0	40	0	40	0	9	6	2	7	236	12	0	5	0	44	9	0	0	0	5	0	1	0	0	30	1	2	0	0	2	1	0	0	1	5	0	17	1	2	82	0	0	23	0	0	1	1	37	2	3	1	0	14	0	1	3	0	5	3	1	13	0	0	0	0	0	0
g__Alistipes	2	0	0	0	1	0	0	13	0	6	1	0	0	2	0	3	0	0	4	4	0	0	1	0	0	0	4	7	0	1	7	0	0	2	0	13	2	2	3	21	43	0	8	4	0	0	0	11	5	0	0	0	0	5	0	0	0	0	30	1	56	7	0	0	0	0	1	0	1	0	0	0	0	3	5	0	0	5	2	0	14	0	0	4	0	4	0	1	4	1	0	0	0	125	0	0	3	0	0	0	0	7	1	5	1	12	1	2	7	0	0	0	1	1	4	8	18	2	5	1	4	12	1	0	2	0	2	5	8	0	0	0	0	9	24	0	1	2	2	1	6	20	6	0	0	0	0	15
